id,date,customer,product,unit,price,quantity,total
1,2025-09-01,嘉信玩具,透明胶带,套,15.0,500,7500.0
2,2025-09-01,永发印刷,泡沫箱,个,6.5,20,130.0
3,2025-09-02,鑫源塑胶,20寸纸箱,个,4.5,15,67.5
4,2025-09-02,东升鞋业,泡沫箱,个,8.0,50,400.0
5,2025-09-03,明辉五金,珍珠棉,个,15.0,10,150.0
6,2025-09-04,宏峰二厂,拉伸膜,个,10.5,50,525.0
7,2025-09-05,中意电器,25寸纸箱,个,9.0,500,4500.0
8,2025-09-05,华盛陶瓷,32寸纸箱,个,11.0,80,880.0
9,2025-09-08,鑫源塑胶,拉伸膜,个,10.0,200,2000.0
10,2025-09-09,宏峰二厂,20寸纸箱,个,4.8,300,1440.0
11,2025-09-14,鑫源塑胶,27寸纸箱,个,6.0,20,120.0
12,2025-09-17,恒丰食品,封箱胶带,个,6.0,100,600.0
13,2025-09-17,永发印刷,拉伸膜,个,10.0,15,150.0
14,2025-09-17,利达家具,拉伸膜,个,12.0,20,240.0
15,2025-09-18,东升鞋业,27寸纸箱,个,7.0,200,1400.0
16,2025-09-18,永发印刷,透明胶带,个,3.0,150,450.0
17,2025-09-20,顺达电子,飞机盒,个,3.8,80,304.0
18,2025-09-20,鑫源塑胶,牛皮胶带,个,3.5,300,1050.0
19,2025-09-21,中意电器,25寸纸箱,个,9.0,20,180.0
20,2025-09-21,旺达贸易,25寸纸箱,个,9.0,50,450.0
21,2025-09-24,宏峰二厂,32寸纸箱,个,9.5,200,1900.0
22,2025-09-24,福星灯饰,珍珠棉,个,15.0,20,300.0
23,2025-09-25,恒丰食品,飞机盒,个,4.5,15,67.5
24,2025-09-25,鑫源塑胶,40寸纸箱,个,12.5,20,250.0
25,2025-09-26,嘉信玩具,封箱胶带,个,5.0,500,2500.0
26,2025-09-26,金利来服装,泡沫箱,个,8.0,200,1600.0
27,2025-09-27,明辉五金,40寸纸箱,个,15.0,150,2250.0
28,2025-09-27,华盛陶瓷,27寸纸箱,个,7.0,5,35.0
29,2025-09-28,顺达电子,透明胶带,个,3.0,300,900.0
30,2025-09-28,恒丰食品,27寸纸箱,个,7.0,80,560.0
31,2025-09-28,恒丰食品,飞机盒,个,4.5,150,675.0
32,2025-10-01,东升鞋业,封箱胶带,个,6.0,150,900.0
33,2025-10-04,嘉信玩具,32寸纸箱,个,9.0,300,2700.0
34,2025-10-04,鑫源塑胶,快递袋,套,38.0,200,7600.0
35,2025-10-06,利达家具,透明胶带,个,3.5,150,525.0
36,2025-10-08,福星灯饰,快递袋,套,45.0,5,225.0
37,2025-10-08,金利来服装,珍珠棉,个,15.0,100,1500.0
38,2025-10-08,宏峰一厂,25寸纸箱,个,8.0,50,400.0
39,2025-10-09,旺达贸易,气泡膜,个,25.0,20,500.0
40,2025-10-09,宏峰一厂,32寸纸箱,个,9.5,200,1900.0
41,2025-10-09,宏峰二厂,25寸纸箱,个,8.0,500,4000.0
42,2025-10-10,宏峰二厂,快递袋,套,36.0,15,540.0
43,2025-10-10,顺达电子,快递袋,个,0.4,150,60.0
44,2025-10-11,嘉信玩具,泡沫箱,个,6.5,20,130.0
45,2025-10-14,中意电器,透明胶带,套,18.0,500,9000.0
46,2025-10-14,鑫源塑胶,编织袋,个,1.2,300,360.0
47,2025-10-14,永发印刷,拉伸膜,个,10.0,100,1000.0
48,2025-10-18,华盛陶瓷,32寸纸箱,个,11.0,20,220.0
49,2025-10-18,明辉五金,27寸纸箱,个,7.0,50,350.0
50,2025-10-18,宏峰一厂,快递袋,套,36.0,20,720.0
51,2025-10-22,宏峰一厂,25寸纸箱,个,8.0,500,4000.0
52,2025-10-22,永发印刷,25寸纸箱,个,7.5,20,150.0
53,2025-10-24,宏峰一厂,拉伸膜,个,10.5,10,105.0
54,2025-10-25,鑫源塑胶,快递袋,个,0.4,20,8.0
55,2025-10-25,嘉信玩具,40寸纸箱,个,12.5,500,6250.0
56,2025-10-26,金利来服装,快递袋,个,0.5,20,10.0
57,2025-10-26,中意电器,快递袋,个,0.5,80,40.0
58,2025-10-26,明辉五金,32寸纸箱,个,11.0,10,110.0
59,2025-10-28,利达家具,泡沫箱,个,8.0,80,640.0
60,2025-10-28,华盛陶瓷,25寸纸箱,个,9.0,300,2700.0
61,2025-11-02,福星灯饰,27寸纸箱,个,7.0,100,700.0
62,2025-11-03,旺达贸易,32寸纸箱,个,11.0,5,55.0
63,2025-11-03,永发印刷,20寸纸箱,个,4.5,10,45.0
64,2025-11-03,福星灯饰,牛皮胶带,个,4.0,15,60.0
65,2025-11-04,华盛陶瓷,透明胶带,套,18.0,80,1440.0
66,2025-11-04,福星灯饰,25寸纸箱,个,9.0,15,135.0
67,2025-11-05,恒丰食品,封箱胶带,个,6.0,100,600.0
68,2025-11-05,鑫源塑胶,泡沫箱,个,6.5,500,3250.0
69,2025-11-07,中意电器,快递袋,个,0.5,15,7.5
